station,remote_cnt,booth_cnt,line_name_all,division_all,long,lat
GRAND AV-NEWTON,1,1,"M,R",IND,,
GRAND ST,2,3,"B,D,L","IND,BMT",-73.9404969987464,40.7115760006482
GRAND ST,2,3,"B,D,L","IND,BMT",-73.9937529991359,40.7182669995499
GRANT AVE,1,1,A,IND,-73.865049998777,40.6770440005448
GREENPOINT AVE,1,2,G,IND,-73.9544250014624,40.7312669997147
GREENWOOD-111,1,2,A,IND,,
GROVE STREET,1,1,1,PTH,,
GUN HILL ROAD,2,2,"5,2",IRT,,
HALSEY ST,2,3,"L,J",BMT,-73.9166388842194,40.6864152707044
HALSEY ST,2,3,"L,J",BMT,-73.9039340011863,40.6955180011488
HARRISON,1,1,1,PTH,,
HEWES ST,1,1,"J,M",BMT,-73.9534880003846,40.706889998054
HIGH ST,1,2,"A,C",IND,-73.9905310006546,40.6993369997788
HOUSTON ST,1,4,1,IRT,-74.0053670018058,40.7282510007302
HOWARD BCH-JFK,1,2,A,IND,,
HOYT ST,2,2,"2,3",IRT,-73.9850637957565,40.6905441853547
HOYT ST-ASTORIA,1,1,"N,Q",BMT,,
HOYT/SCHERMER,1,1,"A,C,G",IND,,
HUDSON-80 ST,1,2,A,IND,,
HUNTERS PT AVE,1,1,7,IRT,,
HUNTS POINT AVE,1,1,6,IRT,-73.8905490001734,40.8209479985231
INTERVALE-163,1,1,"2,5",IRT,,
INWOOD-207 ST,1,2,A,IND,,
JACKSON AVE,1,1,"2,5",IRT,-73.9077019387083,40.816437466864
JAMAICA-179 ST,1,2,F,IND,,
JAMAICA-VAN WYC,1,1,E,IND,,
JAMAICA CENTER,1,2,"E,J,Z",IND,,
JAY ST-METROTEC,2,4,"R,A,C,F","BMT,IND",,
JEFFERSON ST,1,1,L,BMT,-73.9229130000312,40.7066066659887
JFK HOWARD BCH,1,2,A,IND,,
JFK JAMAICA CT1,1,1,E,IND,,
JFK JAMAICA CT2,1,1,E,IND,,
JOURNAL SQUARE,1,1,1,PTH,,
JUNCTION BLVD,1,1,7,IRT,-73.8695270010352,40.7491449994884
JUNIUS ST,1,1,3,IRT,-73.9024486418356,40.6635890018173
KINGS HIGHWAY,3,6,"F,B,Q,N","IND,BMT",,
KINGSBRIDGE RD,2,3,"B,D,4","IND,IRT",-73.8935090000331,40.8669779999995
KINGSBRIDGE RD,2,3,"B,D,4","IND,IRT",-73.8971740010174,40.8677600008858
KINGSTON-THROOP,1,2,C,IND,,
KINGSTON AVE,1,1,3,IRT,-73.9421597839296,40.6694814486498
KNICKERBOCKER,1,1,M,BMT,,
KOSCIUSZKO ST,1,1,J,BMT,-73.9285089992741,40.693172001292
LACKAWANNA,1,1,1,PTH,,
LAFAYETTE AVE,1,1,C,IND,-73.9739459984941,40.6861130002057
