linename,station,flow,n,crime_rate
A,BEACH 60 ST,2334180,134,5.74077406198322e-05
A,BEACH 67 ST,2581072.25,157,6.08274332498829e-05
A,FAR ROCKAWAY,6025485.75,350,5.80866032253084e-05
A,GRANT AV,6444860.5,282,4.37557958003901e-05
A,HOWARD BCH JFK,7880731.4375,185,2.34749783655472e-05
A,INWOOD-207 ST,8910122.9375,258,2.89558294324039e-05
A,OZONE PK LEFFRT,7983764,281,3.51964311570332e-05
A,ROCKAWAY BLVD,5717373.25,257,4.49507122873253e-05
ABCD,125 ST,31715981.6875,1188,3.74574563608169e-05
ABCD,145 ST,27065792,255,9.42148672390595e-06
ABCDEFM,W 4 ST-WASH SQ,43692060.875,1090,2.49473240257175e-05
AC,EUCLID AV,8466185.5,484,5.71686032629453e-05
AC,HIGH ST,9940220.5,211,2.12268933068436e-05
AC,UTICA AV,16924463.375,670,3.95876658039091e-05
ACE,34 ST-PENN STA,75537878.9375,3032,4.01388024478246e-05
